Full_name,skin_name,Quality,Exterior,Price
格洛克 18 型 | 皇家军团 (破损不堪),格洛克 18 型 | 皇家军团,受限,破损不堪,12.52
格洛克 18 型 | 皇家军团 (战痕累累),格洛克 18 型 | 皇家军团,受限,战痕累累,17.00
格洛克 18 型 | 皇家军团 (略有磨损),格洛克 18 型 | 皇家军团,受限,略有磨损,16.67
UMP-45 | 支架 (崭新出厂),UMP-45 | 支架,受限,崭新出厂,16.00
UMP-45 | 支架 (久经沙场),UMP-45 | 支架,受限,久经沙场,6.84
UMP-45 | 支架 (破损不堪),UMP-45 | 支架,受限,破损不堪,7.26
UMP-45 | 支架 (战痕累累),UMP-45 | 支架,受限,战痕累累,19.99
UMP-45 | 支架 (略有磨损),UMP-45 | 支架,受限,略有磨损,8.90
暗影双匕（★） | 澄澈之水 (崭新出厂),暗影双匕（★） | 澄澈之水,隐秘,崭新出厂,799.50
暗影双匕（★） | 澄澈之水 (久经沙场),暗影双匕（★） | 澄澈之水,隐秘,久经沙场,687.44
