Full_name,skin_name,Quality,Exterior,Price
M9 刺刀（★ StatTrak™） | 传说 (久经沙场),M9 刺刀（★ StatTrak™） | 传说,隐秘,久经沙场,8388.00
M9 刺刀（★ StatTrak™） | 传说 (破损不堪),M9 刺刀（★ StatTrak™） | 传说,隐秘,破损不堪,6888.00
M9 刺刀（★ StatTrak™） | 传说 (战痕累累),M9 刺刀（★ StatTrak™） | 传说,隐秘,战痕累累,
M9 刺刀（★ StatTrak™） | 传说 (略有磨损),M9 刺刀（★ StatTrak™） | 传说,隐秘,略有磨损,18888.00
格洛克 18 型 | 皇家军团 (崭新出厂),格洛克 18 型 | 皇家军团,受限,崭新出厂,43.58
格洛克 18 型 | 皇家军团 (久经沙场),格洛克 18 型 | 皇家军团,受限,久经沙场,13.25
格洛克 18 型 | 皇家军团 (破损不堪),格洛克 18 型 | 皇家军团,受限,破损不堪,12.52
格洛克 18 型 | 皇家军团 (战痕累累),格洛克 18 型 | 皇家军团,受限,战痕累累,13.00
格洛克 18 型 | 皇家军团 (略有磨损),格洛克 18 型 | 皇家军团,受限,略有磨损,18.00
M4A1 消音型 | 暴怒野兽 (崭新出厂),M4A1 消音型 | 暴怒野兽,隐秘,崭新出厂,1098.49
M4A1 消音型 | 暴怒野兽 (久经沙场),M4A1 消音型 | 暴怒野兽,隐秘,久经沙场,160.70
M4A1 消音型 | 暴怒野兽 (破损不堪),M4A1 消音型 | 暴怒野兽,隐秘,破损不堪,112.44
