Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-2 20:18,蝴蝶刀（★） | 澄澈之水 (崭新出厂),隐秘,★,匕首,崭新出厂,8615,当前在售(135)
2023-6-2 20:18,蝴蝶刀（★） | 澄澈之水 (久经沙场),隐秘,★,匕首,久经沙场,6650,当前在售(135)
2023-6-2 20:18,蝴蝶刀（★） | 澄澈之水 (破损不堪),隐秘,★,匕首,破损不堪,5908.5,当前在售(135)
2023-6-2 20:18,蝴蝶刀（★） | 澄澈之水 (战痕累累),隐秘,★,匕首,战痕累累,5500,当前在售(135)
2023-6-2 20:18,UMP-45 | 色如焦糖 (略有磨损) ,消费级,普通,微型冲锋枪,略有磨损,50.49,当前在售(70)
2023-6-2 20:18,UMP-45 | 色如焦糖 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,235.6,当前在售(70)
2023-6-2 20:18,UMP-45 | 色如焦糖 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,55.63,当前在售(70)
2023-6-2 20:18,UMP-45 | 色如焦糖 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,47.67,当前在售(70)
2023-6-2 20:18,UMP-45 | 色如焦糖 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,49,当前在售(70)
2023-6-2 20:18,SG 553 | 重金属摇滚 (略有磨损) ,军规级,普通,步枪,略有磨损,1.1,当前在售(831)
2023-6-2 20:18,SG 553 | 重金属摇滚 (崭新出厂),军规级,普通,步枪,崭新出厂,2.95,当前在售(831)
2023-6-2 20:18,SG 553 | 重金属摇滚 (久经沙场),军规级,普通,步枪,久经沙场,0.62,当前在售(831)
2023-6-2 20:18,SG 553 | 重金属摇滚 (破损不堪),军规级,普通,步枪,破损不堪,0.55,当前在售(831)
2023-6-2 20:18,SG 553 | 重金属摇滚 (战痕累累),军规级,普通,步枪,战痕累累,0.56,当前在售(831)
2023-6-2 20:18,P2000 | 草原落叶 (略有磨损) ,工业级,普通,手枪,略有磨损,70.99,当前在售(16)
2023-6-2 20:18,P2000 | 草原落叶 (久经沙场),工业级,普通,手枪,久经沙场,44.8,当前在售(16)
2023-6-2 20:18,P2000 | 草原落叶 (破损不堪),工业级,普通,手枪,破损不堪,39.82,当前在售(16)
2023-6-2 20:18,P2000 | 草原落叶 (战痕累累),工业级,普通,手枪,战痕累累,37.7,当前在售(16)
2023-6-2 20:18,UMP-45 | 枯焦之色 (略有磨损) ,消费级,普通,微型冲锋枪,略有磨损,2.48,当前在售(40)
2023-6-2 20:18,UMP-45 | 枯焦之色 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,25.43,当前在售(40)
2023-6-2 20:18,UMP-45 | 枯焦之色 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,1.08,当前在售(40)
2023-6-2 20:18,UMP-45 | 枯焦之色 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,1.29,当前在售(40)
2023-6-2 20:18,UMP-45 | 枯焦之色 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,1.79,当前在售(40)
2023-6-2 20:18,蝴蝶刀（★） | 都市伪装 (略有磨损) ,隐秘,★,匕首,略有磨损,5434.5,当前在售(132)
2023-6-2 20:18,蝴蝶刀（★） | 都市伪装 (崭新出厂),隐秘,★,匕首,崭新出厂,7800,当前在售(132)
2023-6-2 20:18,蝴蝶刀（★） | 都市伪装 (久经沙场),隐秘,★,匕首,久经沙场,4410,当前在售(132)
2023-6-2 20:18,蝴蝶刀（★） | 都市伪装 (破损不堪),隐秘,★,匕首,破损不堪,4230,当前在售(132)
2023-6-2 20:18,蝴蝶刀（★） | 都市伪装 (战痕累累),隐秘,★,匕首,战痕累累,4250,当前在售(132)
2023-6-2 20:18,暗影双匕（★ StatTrak™） | 表面淬火 (略有磨损) ,隐秘,★ StatTrak™,匕首,略有磨损,1600,当前在售(9)
2023-6-2 20:18,暗影双匕（★ StatTrak™） | 表面淬火 (久经沙场),隐秘,★,匕首,久经沙场,1180,当前在售(9)
2023-6-2 20:18,暗影双匕（★ StatTrak™） | 表面淬火 (破损不堪),隐秘,★,匕首,破损不堪,1099,当前在售(9)
2023-6-2 20:18,暗影双匕（★ StatTrak™） | 表面淬火 (战痕累累),隐秘,★,匕首,战痕累累,3500,当前在售(9)
2023-6-2 20:18,SG 553 | 危险距离 (略有磨损) ,军规级,普通,步枪,略有磨损,0.94,当前在售(610)
2023-6-2 20:18,SG 553 | 危险距离 (崭新出厂),军规级,普通,步枪,崭新出厂,1.59,当前在售(610)
2023-6-2 20:18,SG 553 | 危险距离 (久经沙场),军规级,普通,步枪,久经沙场,0.42,当前在售(610)
2023-6-2 20:18,SG 553 | 危险距离 (破损不堪),军规级,普通,步枪,破损不堪,0.48,当前在售(610)
2023-6-2 20:18,SG 553 | 危险距离 (战痕累累),军规级,普通,步枪,战痕累累,0.35,当前在售(610)
2023-6-2 20:18,蝴蝶刀（★） | 自动化 (略有磨损) ,隐秘,★,匕首,略有磨损,13335,当前在售(115)
2023-6-2 20:18,蝴蝶刀（★） | 自动化 (崭新出厂),隐秘,★,匕首,崭新出厂,18300,当前在售(115)
2023-6-2 20:18,蝴蝶刀（★） | 自动化 (久经沙场),隐秘,★,匕首,久经沙场,10338.5,当前在售(115)
2023-6-2 20:18,蝴蝶刀（★） | 自动化 (破损不堪),隐秘,★,匕首,破损不堪,9250,当前在售(115)
2023-6-2 20:18,蝴蝶刀（★） | 自动化 (战痕累累),隐秘,★,匕首,战痕累累,7975,当前在售(115)
2023-6-2 20:18,UMP-45（StatTrak™） | 塑胶炸弹 (略有磨损) ,受限,StatTrak™,微型冲锋枪,略有磨损,16.5,当前在售(58)
2023-6-2 20:18,UMP-45（StatTrak™） | 塑胶炸弹 (崭新出厂),受限,StatTrak™,微型冲锋枪,崭新出厂,33.9,当前在售(58)
2023-6-2 20:18,UMP-45（StatTrak™） | 塑胶炸弹 (久经沙场),受限,StatTrak™,微型冲锋枪,久经沙场,7.5,当前在售(58)
2023-6-2 20:18,UMP-45（StatTrak™） | 塑胶炸弹 (破损不堪),受限,StatTrak™,微型冲锋枪,破损不堪,7.17,当前在售(58)
2023-6-2 20:18,UMP-45（StatTrak™） | 塑胶炸弹 (战痕累累),受限,StatTrak™,微型冲锋枪,战痕累累,6.5,当前在售(58)
2023-6-2 20:18,暗影双匕（★ StatTrak™） | 自由之手 (略有磨损) ,隐秘,★ StatTrak™,匕首,略有磨损,1079.3,当前在售(9)
