Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-20 11:22,UMP-45（StatTrak™） | 野孩子 (破损不堪),保密,StatTrak™,微型冲锋枪,破损不堪,54,当前在售(125)
2023-6-20 11:22,UMP-45（StatTrak™） | 野孩子 (战痕累累),保密,StatTrak™,微型冲锋枪,战痕累累,40.78,当前在售(125)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 深红之网 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,2500,当前在售(4)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 深红之网 (久经沙场),隐秘,★,匕首,久经沙场,1250,当前在售(4)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 深红之网 (破损不堪),隐秘,★,匕首,破损不堪,1016.5,当前在售(4)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 深红之网 (战痕累累),隐秘,★,匕首,战痕累累,1350,当前在售(4)
2023-6-20 11:22,UMP-45 | 色如焦糖 (略有磨损),消费级,普通,微型冲锋枪,略有磨损,48.48,当前在售(85)
2023-6-20 11:22,UMP-45 | 色如焦糖 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,227.88,当前在售(85)
2023-6-20 11:22,UMP-45 | 色如焦糖 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,45.93,当前在售(85)
2023-6-20 11:22,UMP-45 | 色如焦糖 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,53.4,当前在售(85)
2023-6-20 11:22,UMP-45 | 色如焦糖 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,49.83,当前在售(85)
2023-6-20 11:22,P2000（StatTrak™） | 火灵 (略有磨损),隐秘,StatTrak™,手枪,略有磨损,405,当前在售(39)
2023-6-20 11:22,P2000（StatTrak™） | 火灵 (崭新出厂),隐秘,StatTrak™,手枪,崭新出厂,689.9,当前在售(39)
2023-6-20 11:22,P2000（StatTrak™） | 火灵 (久经沙场),隐秘,StatTrak™,手枪,久经沙场,287,当前在售(39)
2023-6-20 11:22,P2000（StatTrak™） | 火灵 (破损不堪),隐秘,StatTrak™,手枪,破损不堪,888.88,当前在售(39)
2023-6-20 11:22,P2000（StatTrak™） | 火灵 (战痕累累),隐秘,StatTrak™,手枪,战痕累累,263.37,当前在售(39)
2023-6-20 11:22,SG 553 | 重金属摇滚 (略有磨损),军规级,普通,步枪,略有磨损,0.91,当前在售(972)
2023-6-20 11:22,SG 553 | 重金属摇滚 (崭新出厂),军规级,普通,步枪,崭新出厂,2.47,当前在售(972)
2023-6-20 11:22,SG 553 | 重金属摇滚 (久经沙场),军规级,普通,步枪,久经沙场,0.61,当前在售(972)
2023-6-20 11:22,SG 553 | 重金属摇滚 (破损不堪),军规级,普通,步枪,破损不堪,0.6,当前在售(972)
2023-6-20 11:22,SG 553 | 重金属摇滚 (战痕累累),军规级,普通,步枪,战痕累累,0.54,当前在售(972)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 致命紫罗兰 (略有磨损),隐秘,★ StatTrak™,匕首,略有磨损,1550,当前在售(3)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 致命紫罗兰 (崭新出厂),隐秘,★,匕首,崭新出厂,6000,当前在售(3)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 致命紫罗兰 (久经沙场),隐秘,★,匕首,久经沙场,800,当前在售(3)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 致命紫罗兰 (破损不堪),隐秘,★,匕首,破损不堪,780,当前在售(3)
2023-6-20 11:22,暗影双匕（★ StatTrak™） | 致命紫罗兰 (战痕累累),隐秘,★,匕首,战痕累累,680.5,当前在售(3)
2023-6-20 11:22,蝴蝶刀（★） | 自动化 (略有磨损),隐秘,★,匕首,略有磨损,12540,当前在售(129)
2023-6-20 11:22,蝴蝶刀（★） | 自动化 (崭新出厂),隐秘,★,匕首,崭新出厂,18737.5,当前在售(129)
2023-6-20 11:22,蝴蝶刀（★） | 自动化 (久经沙场),隐秘,★,匕首,久经沙场,10149.5,当前在售(129)
2023-6-20 11:22,蝴蝶刀（★） | 自动化 (破损不堪),隐秘,★,匕首,破损不堪,9188.5,当前在售(129)
2023-6-20 11:22,蝴蝶刀（★） | 自动化 (战痕累累),隐秘,★,匕首,战痕累累,8060,当前在售(129)
2023-6-20 11:22,SG 553 | 危险距离 (略有磨损),军规级,普通,步枪,略有磨损,0.77,当前在售(949)
